id_contenido,id_estudiante,edad,genero,estilo,formato,tamaño,duracion,tipo_interactivo,nivel_interactivo,ruido,luz,ubicacion,conectividad,acelerometro,canal,rating
1,862759,17,f,secuencial-global,video,50,87,interactivo,5,bajo,bajo,casa,medio,movimiento,correo,5
1,1166950,18,m,activo-reflexivo,video,50,87,interactivo,5,medio,bajo,casa,bajo,quieto,web,2
1,669077,24,m,visual-verbal,video,50,87,interactivo,5,bajo,alto,casa,bajo,movimiento,web,3
1,970936,20,f,secuencial-global,video,50,87,interactivo,5,medio,bajo,universidad,alto,movimiento,web,3
1,2162641,25,m,sensorial-intuitivo,video,50,87,interactivo,5,bajo,bajo,casa,bajo,movimiento,correo,4
1,303948,21,f,secuencial-global,video,50,87,interactivo,5,alto,alto,otro,alto,quieto,correo,3
1,1181550,24,m,sensorial-intuitivo,video,50,87,interactivo,5,medio,bajo,casa,alto,quieto,web,3
1,1683079,19,f,sensorial-intuitivo,video,50,87,interactivo,5,bajo,medio,universidad,alto,quieto,web,2
1,1082752,20,m,sensorial-intuitivo,video,50,87,interactivo,5,medio,medio,universidad,alto,movimiento,correo,3
1,2256054,25,m,activo-reflexivo,video,50,87,interactivo,5,alto,alto,casa,bajo,quieto,correo,3
1,174683,22,m,sensorial-intuitivo,video,50,87,interactivo,5,alto,alto,universidad,medio,quieto,correo,3
1,2105661,25,f,sensorial-intuitivo,video,50,87,interactivo,5,alto,bajo,casa,medio,quieto,web,2
1,827322,18,f,secuencial-global,video,50,87,interactivo,5,alto,alto,universidad,medio,quieto,web,2
1,370346,22,m,activo-reflexivo,video,50,87,interactivo,5,alto,alto,casa,bajo,quieto,web,1
1,1572201,20,f,sensorial-intuitivo,video,50,87,interactivo,5,medio,medio,casa,medio,quieto,correo,2
1,156078,23,f,visual-verbal,video,50,87,interactivo,5,bajo,bajo,otro,alto,quieto,web,1
1,1559022,18,m,sensorial-intuitivo,video,50,87,interactivo,5,alto,bajo,universidad,bajo,quieto,web,3
1,660495,20,f,secuencial-global,video,50,87,interactivo,5,medio,medio,otro,medio,quieto,correo,3
1,2615605,20,m,activo-reflexivo,video,50,87,interactivo,5,bajo,bajo,universidad,alto,quieto,correo,2
1,925448,25,f,sensorial-intuitivo,video,50,87,interactivo,5,medio,medio,otro,bajo,quieto,correo,3
1,1407746,23,m,sensorial-intuitivo,video,50,87,interactivo,5,bajo,alto,casa,alto,movimiento,correo,2
1,727242,18,f,activo-reflexivo,video,50,87,interactivo,5,medio,bajo,otro,alto,movimiento,web,1
1,1487081,17,m,activo-reflexivo,video,50,87,interactivo,5,medio,medio,casa,bajo,movimiento,correo,4
1,1167572,21,f,activo-reflexivo,video,50,87,interactivo,5,medio,bajo,otro,bajo,quieto,web,3
1,1110571,17,f,secuencial-global,video,50,87,interactivo,5,medio,bajo,otro,medio,quieto,web,4
1,2294328,19,m,visual-verbal,video,50,87,interactivo,5,alto,alto,otro,bajo,quieto,web,3
1,1562015,22,f,visual-verbal,video,50,87,interactivo,5,alto,medio,universidad,bajo,movimiento,web,3
1,2558337,21,m,sensorial-intuitivo,video,50,87,interactivo,5,medio,medio,casa,bajo,quieto,web,1
1,87185,23,m,sensorial-intuitivo,video,50,87,interactivo,5,bajo,bajo,casa,alto,movimiento,correo,2
1,923606,17,m,secuencial-global,video,50,87,interactivo,5,medio,alto,casa,medio,movimiento,web,2
1,1591199,17,m,secuencial-global,video,50,87,interactivo,5,alto,medio,casa,medio,movimiento,correo,3
1,1811603,21,m,sensorial-intuitivo,video,50,87,interactivo,5,bajo,bajo,casa,medio,quieto,correo,3
1,1689425,20,f,sensorial-intuitivo,video,50,87,interactivo,5,bajo,bajo,universidad,bajo,movimiento,correo,3
1,1198849,18,m,activo-reflexivo,video,50,87,interactivo,5,alto,medio,casa,bajo,movimiento,web,3
1,1365370,17,m,visual-verbal,video,50,87,interactivo,5,medio,medio,casa,medio,quieto,web,4
1,2439493,21,m,sensorial-intuitivo,video,50,87,interactivo,5,medio,medio,casa,medio,quieto,web,1
1,1573980,19,f,sensorial-intuitivo,video,50,87,interactivo,5,medio,medio,casa,medio,quieto,web,3
1,71795,18,m,sensorial-intuitivo,video,50,87,interactivo,5,bajo,alto,casa,medio,movimiento,correo,4
1,1866729,25,f,secuencial-global,video,50,87,interactivo,5,medio,alto,casa,medio,movimiento,correo,3
1,772738,18,m,secuencial-global,video,50,87,interactivo,5,medio,medio,casa,medio,movimiento,correo,5
1,1729469,23,m,secuencial-global,video,50,87,interactivo,5,bajo,medio,casa,medio,quieto,web,1
1,439870,21,f,activo-reflexivo,video,50,87,interactivo,5,alto,bajo,universidad,bajo,quieto,web,4
1,1656839,21,m,activo-reflexivo,video,50,87,interactivo,5,alto,medio,casa,bajo,quieto,web,3
1,1895682,20,f,activo-reflexivo,video,50,87,interactivo,5,alto,bajo,casa,bajo,quieto,web,2
1,2344006,17,m,secuencial-global,video,50,87,interactivo,5,alto,alto,universidad,medio,movimiento,correo,3
1,2419782,22,m,sensorial-intuitivo,video,50,87,interactivo,5,alto,bajo,casa,alto,quieto,correo,2
1,1903582,19,m,sensorial-intuitivo,video,50,87,interactivo,5,alto,alto,universidad,bajo,movimiento,web,4
1,2314419,22,f,activo-reflexivo,video,50,87,interactivo,5,medio,bajo,otro,alto,quieto,correo,3
1,919564,18,f,secuencial-global,video,50,87,interactivo,5,medio,alto,universidad,medio,movimiento,correo,1
1,1613733,24,f,activo-reflexivo,video,50,87,interactivo,5,alto,bajo,casa,bajo,movimiento,web,1
1,1377751,24,m,visual-verbal,video,50,87,interactivo,5,bajo,bajo,universidad,alto,movimiento,correo,1
1,2320436,22,m,activo-reflexivo,video,50,87,interactivo,5,alto,medio,casa,alto,movimiento,correo,3
1,502182,18,m,secuencial-global,video,50,87,interactivo,5,medio,bajo,otro,medio,quieto,correo,2
1,1048749,20,f,activo-reflexivo,video,50,87,interactivo,5,bajo,alto,casa,medio,quieto,correo,3
1,2423082,21,f,activo-reflexivo,video,50,87,interactivo,5,alto,bajo,universidad,bajo,movimiento,web,2
1,2590631,20,f,sensorial-intuitivo,video,50,87,interactivo,5,alto,bajo,otro,alto,quieto,correo,3
1,1429828,24,f,activo-reflexivo,video,50,87,interactivo,5,medio,alto,otro,bajo,movimiento,web,3
1,226609,22,m,visual-verbal,video,50,87,interactivo,5,medio,bajo,otro,bajo,quieto,web,4
1,1060346,22,m,secuencial-global,video,50,87,interactivo,5,bajo,bajo,universidad,medio,movimiento,web,2
1,2531844,24,m,sensorial-intuitivo,video,50,87,interactivo,5,bajo,alto,universidad,medio,quieto,web,3
1,2388118,18,f,sensorial-intuitivo,video,50,87,interactivo,5,medio,medio,otro,alto,movimiento,correo,2
1,1369078,17,m,visual-verbal,video,50,87,interactivo,5,bajo,medio,otro,medio,movimiento,correo,3
1,2397196,22,f,secuencial-global,video,50,87,interactivo,5,alto,medio,casa,alto,movimiento,web,3
1,2421477,21,f,activo-reflexivo,video,50,87,interactivo,5,medio,medio,otro,bajo,quieto,web,3
1,413385,17,m,secuencial-global,video,50,87,interactivo,5,bajo,bajo,otro,alto,quieto,web,3
1,713544,21,m,visual-verbal,video,50,87,interactivo,5,bajo,bajo,casa,bajo,quieto,web,3
1,1552165,21,m,secuencial-global,video,50,87,interactivo,5,alto,alto,otro,medio,quieto,web,3
1,1700308,21,f,sensorial-intuitivo,video,50,87,interactivo,5,medio,bajo,casa,bajo,quieto,web,4
1,2507768,23,f,activo-reflexivo,video,50,87,interactivo,5,medio,alto,otro,alto,movimiento,web,5
1,1693152,20,m,sensorial-intuitivo,video,50,87,interactivo,5,medio,medio,otro,alto,movimiento,correo,4
